Date,Unemployment Rate(%)
2000 Q1,5.8
2000 Q2,5.5
2000 Q3,5.3
2000 Q4,5.2
2001 Q1,5.1
2001 Q2,5
2001 Q3,5.1
2001 Q4,5.2
2002 Q1,5.2
2002 Q2,5.2
2002 Q3,5.3
2002 Q4,5.1
2003 Q1,5.2
2003 Q2,4.9
2003 Q3,5
2003 Q4,4.9
2004 Q1,4.8
2004 Q2,4.8
2004 Q3,4.7
2004 Q4,4.7
2005 Q1,4.7
2005 Q2,4.8
2005 Q3,4.7
2005 Q4,5.1
2006 Q1,5.2
2006 Q2,5.5
2006 Q3,5.5
2006 Q4,5.5
2007 Q1,5.5
2007 Q2,5.4
2007 Q3,5.3
2007 Q4,5.2
2008 Q1,5.2
2008 Q2,5.4
2008 Q3,5.9
2008 Q4,6.4
2009 Q1,7.1
2009 Q2,7.8
2009 Q3,7.8
2009 Q4,7.8
2010 Q1,8
2010 Q2,7.9
2010 Q3,7.8
2010 Q4,7.9
2011 Q1,7.8
2011 Q2,7.9
2011 Q3,8.3
2011 Q4,8.4
2012 Q1,8.2
2012 Q2,8
2012 Q3,7.8
2012 Q4,7.8
2013 Q1,7.8
2013 Q2,7.7
2013 Q3,7.6
2013 Q4,7.2
2014 Q1,6.7
2014 Q2,6.3
2014 Q3,6
2014 Q4,5.7
2015 Q1,5.5
2015 Q2,5.6
2015 Q3,5.3
2015 Q4,5.1
2016 Q1,5.1
2016 Q2,4.9
2016 Q3,4.8
2016 Q4,4.7
2017 Q1,4.6
2017 Q2,4.4
2017 Q3,4.3
2017 Q4,4.4
2018 Q1,4.2
2018 Q2,4
2018 Q3,4.1
2018 Q4,4
2019 Q1,3.8
2019 Q2,3.9
2019 Q3,3.9
2019 Q4,3.7
2020 Q1,4.1
2020 Q2,4.1
2020 Q3,5
2020 Q4,5.3
2021 Q1,4.9
2021 Q2,4.7
2021 Q3,4.4
2021 Q4,4.2
2022 Q1,3.8
2022 Q2,3.8
2022 Q3,3.7
2022 Q4,3.9
2023 Q1,4
2023 Q2,4.2
2023 Q3,4.1
2023 Q4,3.9
2024 Q1,4.3
2024 Q2,4.2
2024 Q3,4.3
2024 Q4,4.4
